epsilon_param,init_id,best_epoch,early_stop_time,train_acc,train_auc,test_acc,test_auc,avg_epoch_time,std_epoch_time
0.4832930238571752,1,44,303.3525933800065,0.689940630487499,0.9265077137530507,0.6822566501023093,0.9237378204220503,5.617640618148268,0.4277620252889495
0.4832930238571752,2,44,298.91129061099673,0.6689522535329041,0.926898182842566,0.6667641040631395,0.9244319818947314,5.535394270574013,0.4290607984849916
0.7847599703514611,0,48,321.54258063600355,0.7156116732168242,0.9405516933567809,0.709441683718211,0.9366826697706822,5.543837597172475,0.4384568975972245
0.7847599703514611,1,42,298.80566686100246,0.7207960531817041,0.9463309598708053,0.7214264834843613,0.9441440301966015,5.7462628242500475,0.47201290925585815
0.7847599703514611,2,50,350.61006628300674,0.7468851910694874,0.9485897324119019,0.7456883952060801,0.9474702467955776,5.843501104716779,0.4333160443975584
1.2742749857031335,0,54,376.8692352989983,0.7614349025838281,0.9547908673918413,0.7567962584039755,0.9521450301614254,5.888581801546849,0.4430800977755234
1.2742749857031335,1,60,412.0348659459978,0.7560832845555648,0.9493730818670222,0.7521192633732827,0.9502445517533579,5.886212370657112,0.5125143668114711
1.2742749857031335,2,52,354.85253598500276,0.7452964294673468,0.9489309246597518,0.7427652733118971,0.9453766384646786,5.723427999758109,0.4430341329755271
2.06913808111479,0,42,295.37956319699515,0.8019901329542604,0.9652041664034564,0.7880736626717334,0.9638918450854683,5.68037621532683,0.452498738274509
2.06913808111479,1,43,299.1200052000004,0.7607659503302951,0.9535840281202935,0.7547500730780473,0.9525666990653874,5.643773683018875,0.41538794612633306
2.06913808111479,2,50,342.1198378800036,0.7949661342921649,0.9656462046585832,0.7845659163987139,0.9628162202109569,5.701997298000061,0.434673932642713
3.359818286283781,0,43,300.96195599800194,0.8296680324441843,0.9743493400240991,0.8211049400760012,0.9724035730351095,5.678527471660414,0.4184532772092279
3.359818286283781,1,42,296.77360314699945,0.8230621289405469,0.9720412774054514,0.8193510669394913,0.9700183787612204,5.707184675903836,0.4421252821161073
3.359818286283781,2,42,298.04260328700366,0.7882766117568358,0.9637855989158712,0.7880736626717334,0.9631403829699073,5.73158852475007,0.4293313145810633
5.455594781168514,0,46,326.83851163399777,0.842043649134543,0.9760137605918383,0.8351359251680796,0.9726606651791396,5.8364019934642455,0.42439993399975223
5.455594781168514,1,48,335.6920514920039,0.8386988878668785,0.9745091338904059,0.8263665594855305,0.9722478784723679,5.787793991241446,0.4297998229540006
5.455594781168514,2,51,349.2394703519949,0.8376954594865792,0.9757763857058449,0.825781935106694,0.9723760781689588,5.725237218885162,0.4275105712403862
8.858667904100823,0,42,294.94087378098266,0.8591019315996321,0.98008649072317,0.8468284127448115,0.9777667866378389,5.671939880403513,0.4436302723122851
8.858667904100823,1,53,359.1589635149885,0.8479806003846475,0.97807675488316,0.8380590470622625,0.975257621545749,5.700935928809341,0.4302912767288159
8.858667904100823,2,43,304.0061269770049,0.8534158374446024,0.9778879929835701,0.8462437883659749,0.9754252832324238,5.735964659943488,0.4354322789220447
14.38449888287663,0,46,317.74574910800584,0.8750731666527302,0.98403671113435,0.8611517100263081,0.980267755973482,5.674031234071533,0.431294780985836
14.38449888287663,1,52,351.26010171799317,0.8611924073919224,0.98202059465267,0.8520900321543409,0.9781632460263449,5.665485511580535,0.4326910491681998
14.38449888287663,2,52,348.5779498709999,0.8646207876912785,0.9818821538030911,0.8541362174802689,0.9792189254583582,5.622224997919353,0.4333032698521667
23.357214690901213,0,47,320.8956280329912,0.8750731666527302,0.9843370369025203,0.8640748319204911,0.9818155368601418,5.6297478602279165,0.4443794657952244
23.357214690901213,1,42,291.42843795499357,0.8651225018814283,0.9829470707166307,0.8526746565331774,0.9807980602907753,5.60439303759603,0.4352406472560272
23.357214690901213,2,44,305.67876585699923,0.8735680240822812,0.9830604418670675,0.8617363344051447,0.9804705976785988,5.660717886240726,0.4294320093876662
37.92690190732246,0,42,292.1062735949854,0.882013546283134,0.9861641182670768,0.869921075708857,0.9836553624150804,5.617428338365103,0.4273793464698229
37.92690190732246,1,47,320.6183833300129,0.8743205953675056,0.9847819836123733,0.8664133294358375,0.9825226189724775,5.624883918070402,0.4349204826116428
37.92690190732246,2,44,301.1851245100079,0.8790032611422359,0.9850044587937197,0.8652440806781643,0.9818925725788705,5.577502305740887,0.4199778547221247
61.584821106602604,0,44,305.3274220699859,0.8881177355966218,0.9865830016385633,0.8778135048231511,0.9849909311114446,5.654211519814554,0.4285185333237959
61.584821106602604,1,52,358.4348529420058,0.8877832594698554,0.988230001862781,0.8745980707395499,0.986613823875271,5.781207305516223,0.436024915822441
61.584821106602604,2,42,304.5798447029847,0.8894556401036876,0.9868177071065356,0.8786904413914061,0.9843637649400234,5.857304705826629,0.4434229110551454
100.0,0,43,312.56230052400133,0.900827828413747,0.9883384742601273,0.8833674364220988,0.986955771498084,5.897401896679271,0.4318194987669587
100.0,1,45,321.48610032400757,0.8955598294171754,0.9887511354594428,0.8842443729903537,0.9872259212662937,5.8452018240728645,0.44992586457787886
100.0,2,42,301.32424678499956,0.900409733255289,0.9891894571563611,0.8795673779596609,0.9857042887048514,5.794697053557684,0.4389990278458084
